timestamp,temperature,humidity
2025-02-15 14:35:05,14.4,82.3
2025-02-15 14:35:25,14.4,81.9
2025-02-15 14:35:46,14.4,81.9
2025-02-15 14:36:06,14.4,81.9
2025-02-15 14:36:26,14.4,81.9
2025-02-15 14:36:47,14.4,82.4
2025-02-15 14:38:55,14.4,82.3
2025-02-15 14:39:15,14.4,82.3
2025-02-15 14:39:36,14.4,82.3
2025-02-15 14:39:56,14.4,82.1
2025-02-15 14:40:17,14.4,82.1
2025-02-15 14:40:37,14.4,82.1
2025-02-15 14:40:57,14.4,82.1
2025-02-15 14:41:18,14.4,82
2025-02-15 14:41:25,14.4,82
2025-02-15 14:42:30,14.4,82
2025-02-15 14:43:31,14.4,81.5
2025-02-15 14:44:31,14.4,80.8
2025-02-15 14:45:32,14.4,80.8
2025-02-15 14:46:32,14.5,80.2
2025-02-15 14:47:33,14.4,80.3
2025-02-15 14:48:33,14.4,80.3
2025-02-15 14:49:34,14.4,80.5
2025-02-15 14:50:34,18.3,90.3
2025-02-15 14:51:35,18.3,90.3
2025-02-15 14:52:35,18.8,75.9
2025-02-15 14:53:36,18,74.2
2025-02-15 14:54:36,18,74.2
2025-02-15 14:55:37,17,74.3
2025-02-15 14:56:37,16.3,75.9
2025-02-15 14:57:38,16.3,75.9
2025-02-15 14:58:38,16,76.8
2025-02-15 14:59:39,15.6,76.8
2025-02-15 15:00:39,15.6,76.8
2025-02-15 15:01:40,15.4,78
2025-02-15 15:02:40,15.2,78.9
2025-02-15 15:03:41,15.2,78.9
2025-02-15 15:04:41,15,79.3
2025-02-15 15:05:42,14.9,78.4
2025-02-15 15:06:42,14.9,78.4
2025-02-15 15:07:43,14.7,79
2025-02-15 15:08:43,14.6,80
2025-02-15 15:09:43,14.6,80
2025-02-15 15:10:44,14.6,80.2
2025-02-15 15:11:44,14.5,79.4
2025-02-15 15:12:50,14.5,79.4
2025-02-15 15:13:50,14.4,80.3
2025-02-15 15:14:51,14.4,80.7
2025-02-15 15:15:51,14.4,80.7
2025-02-15 15:16:52,14.4,79.5
2025-02-15 15:17:52,14.3,80.9
2025-02-15 15:18:53,14.3,80.9
2025-02-15 15:19:53,14.2,80
2025-02-15 15:20:53,14.2,80.9
2025-02-15 16:17:42,13.7,82
2025-02-15 16:18:42,13.8,81.2
2025-02-15 16:19:43,13.8,81.2
2025-02-15 16:20:43,13.9,80.7
2025-02-15 16:21:44,13.9,81.4
2025-02-15 16:22:44,13.9,81.4
2025-02-15 16:23:45,14,81.6
2025-02-15 16:24:45,14,80.5
2025-02-15 16:25:45,14,80.5
2025-02-15 16:26:46,14.1,80.4
2025-02-15 16:27:46,14.1,80.9
2025-02-15 16:28:47,14.1,80.9
2025-02-15 16:29:47,14.1,81.5
2025-02-15 16:30:48,14,82.5
2025-02-15 16:31:48,14,82.5
2025-02-15 16:32:48,14,83.1
2025-02-15 16:33:49,14,82.7
2025-02-15 16:34:49,14,82.7
2025-02-15 16:35:50,14,82.7
2025-02-15 16:36:50,14,82.3
2025-02-15 16:37:51,14,82.3
2025-02-15 16:38:51,14.1,81.2
2025-02-15 16:39:52,14.1,81.2
2025-02-15 16:40:52,14.1,81.2
2025-02-15 16:41:52,14.2,80.7
2025-02-15 16:42:53,14.2,80.7
2025-02-15 16:43:53,14.2,81.5
2025-02-15 16:44:54,14.2,80.6
2025-02-15 16:45:55,14.2,80.6
2025-02-15 16:46:55,14.3,80.9
2025-02-15 16:47:56,14.3,79.4
2025-02-15 16:48:56,14.3,79.4
2025-02-15 16:49:56,14.4,78.6
2025-02-15 16:50:57,14.4,79.4
2025-02-15 16:51:57,14.4,79.4
2025-02-15 16:52:58,14.4,78.6
2025-02-15 16:53:58,14.5,78.2
2025-02-15 16:54:59,14.5,78.2
2025-02-15 16:55:59,14.5,78.9
2025-02-15 16:57:00,14.5,79
2025-02-15 16:58:00,14.5,79
2025-02-15 16:59:01,14.6,77.3
2025-02-15 17:00:01,14.6,78.3
2025-02-15 17:01:02,14.6,78.3
2025-02-15 17:02:02,14.6,79.1
2025-02-15 17:03:03,14.7,77.4
2025-02-15 17:04:03,14.7,77.4
2025-02-15 17:05:03,14.7,77.9
2025-02-15 17:06:04,14.7,78.6
2025-02-15 17:07:04,14.7,78.6
2025-02-15 17:08:05,14.7,78.5
2025-02-15 17:09:05,14.8,78.4
2025-02-15 17:10:06,14.8,78.4
2025-02-15 17:11:06,14.8,77.7
2025-02-15 17:12:07,14.8,77.3
2025-02-15 17:13:07,14.8,77.3
2025-02-15 17:14:08,14.9,76.5
2025-02-15 17:15:08,14.9,77.3
2025-02-15 17:16:09,14.9,77.3
2025-02-15 17:17:09,14.9,76
2025-02-15 17:18:10,14.9,76.2
2025-02-15 17:19:10,14.9,76.2
2025-02-15 17:20:11,14.9,75.7
2025-02-15 17:21:12,14.9,76.3
2025-02-15 17:22:12,14.9,76.3
2025-02-15 17:23:13,14.9,76
2025-02-15 17:24:13,14.9,74.7
2025-02-15 17:25:14,14.9,74.7
2025-02-15 17:26:14,14.9,75.3
2025-02-15 17:27:15,14.9,75.6
2025-02-15 17:28:15,14.9,75.6
2025-02-15 17:29:16,14.9,75
2025-02-15 17:30:16,14.9,74
2025-02-15 17:31:17,14.9,74
2025-02-15 17:32:18,14.8,75.1
2025-02-15 17:33:18,14.8,74.5
2025-02-15 17:34:19,14.8,74.5
2025-02-15 17:35:19,14.8,74.3
2025-02-15 17:36:20,14.8,74.3
